Fecha y Hora;Nombre Central;Generación Real (MWh)
07-07-2023 1:00;PFV ANDES SOLAR II-B;0
07-07-2023 2:00;PFV ANDES SOLAR II-B;0
07-07-2023 3:00;PFV ANDES SOLAR II-B;0
07-07-2023 4:00;PFV ANDES SOLAR II-B;0
07-07-2023 5:00;PFV ANDES SOLAR II-B;0
07-07-2023 6:00;PFV ANDES SOLAR II-B;0
07-07-2023 7:00;PFV ANDES SOLAR II-B;0
07-07-2023 8:00;PFV ANDES SOLAR II-B;2
07-07-2023 9:00;PFV ANDES SOLAR II-B;10
07-07-2023 10:00;PFV ANDES SOLAR II-B;13
07-07-2023 11:00;PFV ANDES SOLAR II-B;50
07-07-2023 12:00;PFV ANDES SOLAR II-B;50
07-07-2023 13:00;PFV ANDES SOLAR II-B;50
07-07-2023 14:00;PFV ANDES SOLAR II-B;50
07-07-2023 15:00;PFV ANDES SOLAR II-B;32
07-07-2023 16:00;PFV ANDES SOLAR II-B;25
07-07-2023 17:00;PFV ANDES SOLAR II-B;25
07-07-2023 18:00;PFV ANDES SOLAR II-B;15
07-07-2023 19:00;PFV ANDES SOLAR II-B;40
07-07-2023 20:00;PFV ANDES SOLAR II-B;105
07-07-2023 21:00;PFV ANDES SOLAR II-B;105
07-07-2023 22:00;PFV ANDES SOLAR II-B;105
07-07-2023 23:00;PFV ANDES SOLAR II-B;105
07-07-2023 23:59;PFV ANDES SOLAR II-B;6
08-07-2023 1:00;PFV ANDES SOLAR II-B;0
08-07-2023 2:00;PFV ANDES SOLAR II-B;0
08-07-2023 3:00;PFV ANDES SOLAR II-B;0
08-07-2023 4:00;PFV ANDES SOLAR II-B;0
08-07-2023 5:00;PFV ANDES SOLAR II-B;0
08-07-2023 6:00;PFV ANDES SOLAR II-B;0
08-07-2023 7:00;PFV ANDES SOLAR II-B;0
08-07-2023 8:00;PFV ANDES SOLAR II-B;1
08-07-2023 9:00;PFV ANDES SOLAR II-B;5
08-07-2023 10:00;PFV ANDES SOLAR II-B;8
08-07-2023 11:00;PFV ANDES SOLAR II-B;10
08-07-2023 12:00;PFV ANDES SOLAR II-B;10
08-07-2023 13:00;PFV ANDES SOLAR II-B;10
08-07-2023 14:00;PFV ANDES SOLAR II-B;10
08-07-2023 15:00;PFV ANDES SOLAR II-B;10
08-07-2023 16:00;PFV ANDES SOLAR II-B;10
08-07-2023 17:00;PFV ANDES SOLAR II-B;10
08-07-2023 18:00;PFV ANDES SOLAR II-B;10
08-07-2023 19:00;PFV ANDES SOLAR II-B;10
08-07-2023 20:00;PFV ANDES SOLAR II-B;56
08-07-2023 21:00;PFV ANDES SOLAR II-B;105
08-07-2023 22:00;PFV ANDES SOLAR II-B;105
08-07-2023 23:00;PFV ANDES SOLAR II-B;105
08-07-2023 23:59;PFV ANDES SOLAR II-B;60
09-07-2023 1:00;PFV ANDES SOLAR II-B;1
09-07-2023 2:00;PFV ANDES SOLAR II-B;0
09-07-2023 3:00;PFV ANDES SOLAR II-B;0
09-07-2023 4:00;PFV ANDES SOLAR II-B;0
09-07-2023 5:00;PFV ANDES SOLAR II-B;0
09-07-2023 6:00;PFV ANDES SOLAR II-B;0
09-07-2023 7:00;PFV ANDES SOLAR II-B;0
09-07-2023 8:00;PFV ANDES SOLAR II-B;3
09-07-2023 9:00;PFV ANDES SOLAR II-B;10
09-07-2023 10:00;PFV ANDES SOLAR II-B;10
09-07-2023 11:00;PFV ANDES SOLAR II-B;10
09-07-2023 12:00;PFV ANDES SOLAR II-B;10
