Index;Id;Proyecto;NUP;Empresa Solicitante;Tipo;Estado Solicitud;Fecha Recepción;Capacidad [MW];Tipo Proyecto;Sólo BESS;BESS+Solar;BESS+Eólico;Capacidad BESS (MW);Cap. BESS + Solar (MWh);Cap. BESS+ Eolico (MWh);Número de Hrs almacenamiento;Fecha Estimada Conexión;Punto de Conexión;Nivel de tension;Barra;Paño;Región;Comuna;Segmento de Transmisión;Fecha emisión informe definitivo;Plazo obtención declaración en const;Prórroga plazo obtención declaración en const.
4;1663;PFV Quinteros;;Membrillo SpA;SUCTD;Solicitud ingresada;17 de octubre de 2023 17:02;135;Híbrido;-;x;-;67;201;;3;1 de agosto de 2027 00:00;2x220 kV Nueva Ventana - Nogales;220;Seccionamiento en Interruptor y Medio;J7, J8;Valparaiso;Puchuncaví;Dedicada;;;
10;1650;Parque Solar Tres Puntas;4472;Parque Fotovoltaico Hualo SpA;SAC;Detenida a la espera de definición de ingeniería de la obra;7 de octubre de 2023 00:15;240;Híbrido;-;x;-;;;;;30 de septiembre de 2027 00:00;S/E La Ruca 220 kV;220;Diagonal Futura;por definir;Coquimbo;Andacollo;Zonal;;;
11;1647;Solar Oriente;4453;Aes Chile Inversiones Renovables SpA;SUCTD;Evaluación Admisibilidad;6 de octubre de 2023 10:50;520;Híbrido;-;x;-;;;;;14 de febrero de 2029 00:00;Línea 220 kV Lagunas - Puquios;220;Seccionamiento;Seccionamiento;Tarapacá;Pozo Almonte;Dedicada;;;
17;1630;PRAT SOLAR;4439;Plantar Solar SPV I SpA;SAC;Evaluación Admisibilidad;28 de septiembre de 2023 10:54;9;Híbrido;-;x;-;;;;;1 de agosto de 2026 00:00;S/E Hualte 66 kV;66;Barra 1;B5 (Norte);Ñuble;Ninhue;Zonal;;;
25;1615;Sistema de Almacenamiento Central Desierto de Atacama;4390;Copiapó Solar S.A.;FEHACIENTES;Proyecto calificado como fehaciente;13 de septiembre de 2023 03:39;110;Híbrido;-;x;-;;;;;30 de noviembre de 2024 00:00;S/E Desierto de Atacama 33 kV;33;Media Tensión;Por Definir;Atacama;Tierra Amarilla;Dedicada;;;
26;1612;PF Cristaria Solar+ BESS (Etapa 1);4394;Cristaria Solar SpA;SAC;Evaluación de antecedentes y/o requerimientos;11 de septiembre de 2023 22:11;120;Híbrido;-;x;-;;;;;1 de abril de 2026 00:00;S/E Nueva Maitencillo 220 kV;220;Barra 220kV ;POR DEFINIR;Atacama;Freirina;Nacional;;;
27;1609;Parque Fotovoltaico Sol de Piuchén;4391;Gestión y Asesoria de Energía SpA.;SAC;Evaluación de antecedentes y/o requerimientos;10 de septiembre de 2023 13:37;120;Híbrido;-;x;-;;;;;30 de diciembre de 2027 00:00;S/E Portezuelo 110 kV;110;Barra Principal;H4, por definir;Libertador General Bernardo OHiggins;Marchigüe;Zonal;;;
28;1608;LAS MELLIZAS GENERACIÓN;4389;Las Mellizas Generación SpA.;SAC;Evaluación de antecedentes y/o requerimientos;8 de septiembre de 2023 23:35;140;Híbrido;-;x;-;;;;;31 de julio de 2026 00:00;S/E Entre Ríos 500 kV;500;Barra principal N°2;K12;Ñuble;Pemuco;Nacional;;;
33;1597;PFV + BESS Carrizalillo;4382;Grenergy Renovables Pacific Limitada;SAC;Evaluación de antecedentes y/o requerimientos;4 de septiembre de 2023 15:49;150;Híbrido;-;x;-;;;;;31 de diciembre de 2027 00:00;S/E Don Héctor 220 kV;220;Media Diagonal J20-J21;J20-J21;Atacama;Vallenar;Nacional;;;
35;1592;Pita Solar;4377;RWE Renewables Chile SpA;SAC;Detenida a la espera de definición de ingeniería de la obra;4 de septiembre de 2023 15:32;136.4;Híbrido;-;x;-;45;181,4;;4,03;1 de junio de 2028 00:00;S/E Nueva Pozo Almonte 220 kV;220;por definir;por definir;Tarapacá;Pozo Almonte;Nacional;;;
36;1591;Ara Solar;4397;Solar Uno SpA;SAC;Detenida a la espera de definición de ingeniería de la obra;4 de septiembre de 2023 15:31;250;Híbrido;-;x;-;;;;;30 de marzo de 2028 00:00;S/E Nueva Pozo Almonte 220 kV;220;Barra 1;J13/J14;Tarapacá;Pozo Almonte;Nacional;;;
