Index;Id;Proyecto;NUP;Empresa Solicitante;Tipo;Estado Solicitud;Fecha Recepción;Capacidad [MW];Tipo Proyecto;Sólo BESS;BESS+Solar;BESS+Eólico;Capacidad BESS (MW);Cap. BESS + Solar (MWh);Cap. BESS+ Eolico (MWh);Número de Hrs almacenamiento;Fecha Estimada Conexión;Punto de Conexión;Nivel de tension;Barra;Paño;Región;Comuna;Segmento de Transmisión;Fecha emisión informe definitivo;Plazo obtención declaración en const;Prórroga plazo obtención declaración en const.
1;1670;BESS Tambillo;;BESS El Salado SpA.;SAC;Solicitud Ingresada;20 de octubre de 2023 20:35;405;Híbrido;x;-;-;405;;;;29 de diciembre de 2027 00:00;S/E Nueva Pozo Almonte 220kV;220;Barra 2;JX;Tarapacá;Pozo Almonte;Nacional;;;
2;1668;BESS ALTILIUM;;Colbún S.A.;SAC;Solicitud Ingresada;20 de octubre de 2023 13:20;200;Híbrido;x;-;-;200;;;;1 de diciembre de 2030 00:00;S/E Cumbre 220 kV;220;Barra 2;J12;Atacama;Diego de Almagro;Nacional;;;
3;1666;BESS Saucache;;Solarpack Chile Limitada;SAC;Solicitud Ingresada;18 de octubre de 2023 14:07;200;Híbrido;x;-;-;200;;;;30 de diciembre de 2028 00:00;S/E Parinacota 220 kV;220;Barra 220 kV;J4;Arica y Parinacota;Arica;Nacional;;;
5;1661;BESS Nudo Norte;;Solarpack Chile Limitada;SAC;Solicitud Ingresada;17 de octubre de 2023 11:40;100;Híbrido;x;-;-;100;;;;30 de diciembre de 2029 00:00;S/E Uribe 110 kV;110;Barra 1;H4;Antofagasta;Antofagasta;Zonal;;;
6;1660;BESS Don Ignacio I;;Solarpack Chile Limitada;SAC;Solicitud Ingresada;17 de octubre de 2023 11:22;300;Híbrido;x;-;-;300;;;;30 de junio de 2028 00:00;S/E Carrera Pinto 220 kV;220;Barra 1;J16;Atacama;Copiapó;Nacional;;;
7;1659;BESS El Aparecido;;Energy Head SpA;SUCTD;Solicitud ingresada;16 de octubre de 2023 13:09;40;Híbrido;x;-;-;40;;;;31 de julio de 2026 00:00;Loma Los Colorados - Tap Punta Peuco 110 kV;110;Tap off;H2;Metropolitana de Santiago;Tiltil;Dedicada;;;
8;1654;BESS del Desierto;;BESS del Desierto SpA;FEHACIENTES;Proyecto ingresado;12 de octubre de 2023 14:37;200;Híbrido;x;-;-;200;;;;31 de diciembre de 2025 00:00;S/E Sol del Desierto 33 kV;33;Barra Principal, sección 1 y 2;por definir;Antofagasta;Maria Elena;Dedicada;;;
9;1652;PMG Patache +BESS;;Cielpanel SpA;SUCTD;Solicitud ingresada;10 de octubre de 2023 20:16;9;Híbrido;x;-;-;9;;;;30 de junio de 2025 00:00;S/E Central Tarapacá 6 kV;6;Barra 6.6 kV;Circuito MT 1BBB14 en barra 6.6kV bajo trafo de arranque 1BCT10 de 28MVA;Tarapacá;Iquique;Dedicada;;;
13;1643;BESS LA LIGUA ENERGIA 1;4451;JINKO POWER CHILE SPA ;SAC;Evaluación Admisibilidad;4 de octubre de 2023 15:05;150;Híbrido;x;-;-;150;;;;31 de diciembre de 2027 00:00;Nueva S/E La Ligua 220 kV;220;Barra principal No 1 y 2;J10-J11;Valparaiso;La Ligua;Zonal;;;
14;1642;BESS Halcón 12;4452;oEnergy Development SpA;SAC;Evaluación de antecedentes y/o requerimientos;3 de octubre de 2023 19:37;250;Híbrido;x;-;-;250;;;;30 de noviembre de 2026 00:00;SE Crucero 220 kV;220;Barra Principal Seccion 1;J10;Antofagasta;Maria Elena;Nacional;;;
15;1640;SAE Barro Blanco;4448;BIWO Renovables S.A.;SAC;Desarrollo de estudios y/o antecedentes;29 de septiembre de 2023 20:31;20;Híbrido;x;-;-;20;;;;31 de diciembre de 2026 00:00;S/E Barro Blanco 66 kV;66;Barra Principal;B4;Los Lagos;Osorno;Zonal;;;
16;1639;SAE Loreto;4447;BIWO Renovables S.A.;SAC;Desarrollo de estudios y/o antecedentes;29 de septiembre de 2023 20:23;20;Híbrido;x;-;-;20;;;;31 de diciembre de 2026 00:00;S/E Loreto 66 kV;66;Barra N°1;B1;Libertador General Bernardo OHiggins;Coltauco;Zonal;;;
18;1629;BESS Halcón de Almagro Etapa 1;4438;oEnergy Development SpA;SUCTD;Evaluación Admisibilidad;27 de septiembre de 2023 18:34;20;Híbrido;x;-;-;20;;;;30 de noviembre de 2025 00:00;Línea 110 kV Diego de Almagro - Río Salado;110;En Derivación;Tap-Off;Atacama;Diego de Almagro;Dedicada;;;
19;1628;BESS Arica II;4437;Engie Energía Chile S.A. ;SAC;Evaluación de antecedentes y/o requerimientos;27 de septiembre de 2023 17:58;30;Híbrido;x;-;-;30;;;;1 de octubre de 2025 00:00;S/E Arica 66 kV;66;Barra Principal;B6;Arica y Parinacota;Arica;Zonal;;;
20;1627;Arena BESS;4436;CI NMF I Arena ProjectCo SpA;SUCTD;Audiencia y antecedentes adicionales;27 de septiembre de 2023 17:30;270;Híbrido;x;-;-;270;;;;31 de julio de 2026 00:00;LT 220 kV Parinas - Lalackama;220;N/A;N/A;Antofagasta;Taltal;Dedicada;;;
21;1625;BESS Tamarugal;4434;Solarpack Chile Limitada;SUCTD;Audiencia y antecedentes adicionales;25 de septiembre de 2023 17:33;187;Híbrido;x;-;-;187;;;;29 de diciembre de 2028 00:00;S/E Granja Solar 220 kV;220;Barra N°1;H2;Tarapacá;Pozo Almonte;Dedicada;;;
22;1624;BESS Halcón de Almagro Etapa 2;4416;oEnergy Development SpA;SUCTD;Audiencia y antecedentes adicionales;21 de septiembre de 2023 17:19;60;Híbrido;x;-;-;60;;;;29 de diciembre de 2025 00:00;Diego de Almagro - Llanta 2x110 kV;110;En Derivación;Tap Off;Atacama;Diego de Almagro;Dedicada;;;
23;1623;BESS Ríos Nueva Pozo Almonte;4415;Ríos Nueva Pozo Almonte SpA;SAC;Detenida a la espera de definición de ingeniería de la obra;20 de septiembre de 2023 18:13;125;Híbrido;x;-;-;125;;;;31 de diciembre de 2027 00:00;S/E Nueva Pozo Almonte 220 kV;220;Interruptor y medio;J24;Tarapacá;Pozo Almonte;Nacional;;;
24;1622;BESS Halcón de Almagro Etapa 3;4414;oEnergy Development SpA;SUCTD;Audiencia y antecedentes adicionales;20 de septiembre de 2023 17:24;44;Híbrido;x;-;-;44;;;;30 de noviembre de 2026 00:00;Diego de Almagro - Minera Franke 110 kV;110;en derivación;Tap Off;Atacama;Diego de Almagro;Dedicada;;;
29;1607;Sistema de Almacenamiento del PF Sol de Lila;4388;Enel Green Power del Sur ;FEHACIENTES;Revisión de antecedentes;8 de septiembre de 2023 20:03;150;Híbrido;x;-;-;150;;;;1 de octubre de 2025 00:00;S/E Sol de Lila 33 kV;33;Celdas 33 kV;Celdas 33 kV;Antofagasta;San Pedro de Atacama;Dedicada;;;
30;1600;BESS Bio Bio;4384;Grenergy Renovables Pacific Limitada;SAC;Evaluación de antecedentes y/o requerimientos;4 de septiembre de 2023 17:10;90;Híbrido;x;-;-;90;;;;31 de diciembre de 2027 00:00;S/E Lagunillas 220 kV;220;Media Diagonal J14-J15;J14-J15;Biobío;Coronel;Nacional;;;
31;1599;Bess Santa Rosa;4378;Grenergy Renovables Pacific Limitada;SAC;Detenida a la espera de definición de ingeniería de la obra;4 de septiembre de 2023 16:00;90;Híbrido;x;-;-;90;;;;31 de diciembre de 2027 00:00;S/E Hualqui 220 kV;220;Paño J12 S/E Hualqui;J12;Biobío;Hualqui;Zonal;;;
32;1598;BESS Varón;4381;Grenergy Renovables Pacific Limitada;SAC;Detenida a la espera de definición de ingeniería de la obra;4 de septiembre de 2023 15:55;90;Híbrido;x;-;-;90;;;;31 de diciembre de 2027 00:00;S/E La Pólvora 220 kV;220;Media diagonal J14-J15;J14-15;Valparaiso;Valparaíso;Nacional;;;
34;1596;BESS Halcón  20;4396;oEnergy Development SpA;SAC;Detenida a la espera de definición de ingeniería de la obra;4 de septiembre de 2023 15:37;300;Híbrido;x;-;-;300;;;;30 de noviembre de 2026 00:00;S/E Nueva Pozo Almonte 220 kV;220;Barra 2;J24;Tarapacá;Pozo Almonte;Nacional;;;
40;1582;Sistema de Almacenamiento Quillagua;4364;Parque Eólico Quillagua SpA;FEHACIENTES;Proyecto calificado como fehaciente;30 de agosto de 2023 18:37;95;Híbrido;x;-;-;95;;;;30 de abril de 2025 00:00;S/E PE Quillagua 23 kV;23;Celdas 23 kV;Celdas de media tensión;Antofagasta;Maria Elena;Dedicada;;;
42;1575;BESS CHACA;4359;Colbún S.A.;SAC;Desarrollo de estudios y/o antecedentes;24 de agosto de 2023 19:11;240;Híbrido;x;-;-;240;;;;27 de febrero de 2026 00:00;S/E Roncacho 220 kV;220;Barra 2;J5 y J6;Arica y Parinacota;Camarones;Nacional;;;
43;1572;BESS Mirador;4342;Cielpanel SpA;SAC;Desarrollo de estudios y/o antecedentes;21 de agosto de 2023 14:41;16;Híbrido;x;-;-;16;;;;30 de junio de 2024 00:00;S/E Hernan Fuentes 23 kV;23;Barra 23 kV;Barra 23 kV;Atacama;Copiapó;Zonal;;;
45;1566;Sistema de almacenamiento del PF Valle del Sol;4324;Enel Green Power del Sur ;FEHACIENTES;Proyecto autorizado para declararse en construcción;9 de agosto de 2023 12:14;150;Híbrido;x;-;-;150;;;;1 de octubre de 2025 00:00;S/E Valle del Sol 33 kV;33;Celdas 33kV;Celdas 33 kV;Antofagasta;Maria Elena;Dedicada;;04/2024;
46;1556;Proyecto BESS Huatacondo;4320;AustrianSolar Chile Cuatro SpA;FEHACIENTES;Proyecto calificado como fehaciente;4 de agosto de 2023 08:39;98;Híbrido;x;-;-;98;;;;30 de septiembre de 2025 00:00;S/E Santa Rita 220 kV;220;Barra Principal, seccion1 23kv;por definir;Tarapacá;Pozo Almonte;Dedicada;;;
47;1549;Sistema BESS Arenales;4276;Punta del Sol SpA;FEHACIENTES;Proyecto autorizado para declararse en construcción;25 de julio de 2023 12:53;300;Híbrido;x;-;-;300;;;;8 de octubre de 2025 00:00;S/E Cochrane 220 kV;220;Doble Barra;J7;Antofagasta;Mejillones;Dedicada;;06/2024;
48;1548;BESS Halcón 15;4275;oEnergy Development SpA;SUCTD;Observaciones al informe CTD preliminar;24 de julio de 2023 19:11;12;Híbrido;x;-;-;12;;;;30 de noviembre de 2025 00:00;Línea Los Molles - Monte Patria 2x66 kV;66;Conexión En Derivación;Tap Off al Circuito N°2;Coquimbo;Monte Patria;Dedicada;;;
49;1547;BESS Metropolitana;4273;BESS Metropolitana SpA;SAC;Evaluación de antecedentes y/o requerimientos;21 de julio de 2023 14:39;200;Híbrido;x;-;-;200;;;;30 de septiembre de 2027 00:00;S/E Maipo 220 kV;220;Barra principal 220 kV;Bahía GIS N°13;Metropolitana de Santiago;Buin;Nacional;;;
50;1546;BESS Charruana;4274;BESS Charruana SpA;SAC;Desarrollo de estudios y/o antecedentes;21 de julio de 2023 14:18;200;Híbrido;x;-;-;200;;;;30 de septiembre de 2027 00:00;S/E Charrúa 220 kV;220;Barra Principal Seccion 3 220kV;J32;Biobío;Cabrero;Nacional;;;
51;1532;BESS Pueblo Hundido;4215;BESS Pueblo Hundido SpA;SAC;Desarrollo de estudios y/o antecedentes;29 de junio de 2023 14:17;405;Híbrido;x;-;-;405;;;;30 de noviembre de 2027 00:00;S/E Cumbre 220 kV;220;Barra 1;JX;Atacama;Diego de Almagro;Nacional;;;
52;1526;BESS Halcón 7;4176;oEnergy Development SpA;SUCTD;Audiencia y antecedentes adicionales;15 de junio de 2023 16:54;17;Híbrido;x;-;-;17;;;;30 de septiembre de 2025 00:00;Central Chapiquiña - Arica 66 kV;66;Conexión en Derivación;Tap Off;Arica y Parinacota;Arica;Dedicada;;;
53;1525;BESS Halcón 9;4175;oEnergy Development SpA;SUCTD;Audiencia y antecedentes adicionales;15 de junio de 2023 12:18;69;Híbrido;x;-;-;69;;;;30 de septiembre de 2025 00:00;El Peñon - Minera Teck 110 kV;110;Conexión en Derivación;Tap Off;Coquimbo;Coquimbo;Dedicada;;;
55;1522;BESS Halcón 5;4173;oEnergy Development SpA;SUCTD;Observaciones al informe CTD preliminar;13 de junio de 2023 20:36;35;Híbrido;x;-;-;35;;;;31 de diciembre de 2025 00:00;Diego de Almagro - Río Salado 110 kV;110;En derivación;Tap Off;Atacama;Diego de Almagro;Dedicada;;;
56;1520;BESS Halcón 13;4172;oEnergy Development SpA;SUCTD;Detenida a la espera de información técnica del propietario de la instalación;12 de junio de 2023 14:55;52;Híbrido;x;-;-;52;;;;31 de diciembre de 2025 00:00;Vicuña - Baños del Toro 110 kV;110;Conexión en Derivación;Tap Off;Coquimbo;Vicuña;Dedicada;;;
57;1519;BESS Halcon 10;4171;oEnergy Development SpA;SUCTD;Proyecto Autorizado para Declararse en Construcción;9 de junio de 2023 17:59;55;Híbrido;x;-;-;55;;;;31 de diciembre de 2025 00:00;Línea Diego de almagro - tap off chañares en 110 kV;110;conexión en derivación;Tap off;Atacama;Diego de Almagro;Dedicada;05/10/2023 15:12:20;10/2023;
59;1487;BESS Halcón 6;4142;oEnergy Development SpA;SUCTD;Proyecto Autorizado para Declararse en Construcción;30 de mayo de 2023 12:08;26;Híbrido;x;-;-;26;;;;31 de diciembre de 2025 00:00;Las Vegas - Cristalerias Chile 110 kV;110;Derivación;Tap off;Valparaiso;Llaillay;Dedicada;25/09/2023 17:14:48;12/2025;
63;1479;BESS La Solana (Ex BESS Las Terrazas);4120;Aes Chile Inversiones Renovables SpA;SAC;Desarrollo de estudios y/o antecedentes;23 de mayo de 2023 12:45;400;Híbrido;x;-;-;400;;;;9 de octubre de 2028 00:00;S/E La Cebada 220 kV;220;Barra Principal;JT2;Coquimbo;Ovalle;Nacional;;;
65;1471;BESS Stand Alone Muelle;4101;Cielpanel SpA;SUCTD;Audiencia y antecedentes adicionales;5 de mayo de 2023 11:29;15;Híbrido;x;-;-;15;;;;31 de diciembre de 2024 00:00;S/E Muelle 23 kV;23;Barra 23kV;Celda CB06;Antofagasta;Mejillones;Dedicada;;;
66;1468;BESS Halcón 17;4098;oEnergy Development SpA;SAC;Desarrollo de estudios y/o antecedentes;3 de mayo de 2023 17:44;28;Híbrido;x;-;-;28;;;;30 de septiembre de 2025 00:00;S/E Chacahuín 15 kV;15;Barra Principal;C7;Maule;Linares;Zonal;;;
67;1452;Sistema de Almacenamiento de PFV Don Humberto;4084;Enel Green Power del Sur ;FEHACIENTES;Proyecto declarado en construccion;26 de abril de 2023 12:58;60;Híbrido;x;-;-;60;;;;31 de agosto de 2024 00:00;S/E Don Humberto 33 kV;33;Celdas 33 KV;Celda 33 kV;Metropolitana de Santiago;Tiltil;Dedicada;;01/2024;
68;1450;BESS Halcón 3;4081;oEnergy Development SpA;SUCTD;Audiencia y antecedentes adicionales;21 de abril de 2023 18:41;65;Híbrido;x;-;-;65;;;;30 de septiembre de 2025 00:00;Línea Cardones - Refugio 110 kV;110;Conexión en Derivación;Tap Off;Atacama;Copiapó;Dedicada;;;
69;1449;BESS Halcón 4;4080;oEnergy Development SpA;SAC;Elaboración Informe de Autorización de Conexión Preliminar;21 de abril de 2023 16:49;25;Híbrido;x;-;-;25;;;;30 de septiembre de 2025 00:00;S/E Galleguillos 110 kV;110;Barra Principal 110 kV;H4;Atacama;Copiapó;Zonal;;;
70;1448;BESS Halcón 11;4079;oEnergy Development SpA;SUCTD;Observaciones al informe CTD preliminar;21 de abril de 2023 16:25;50;Híbrido;x;-;-;50;;;;30 de septiembre de 2025 00:00;Línea Ovalle - Tap Off Punitaqui 110 kV;110;Conexión en Derivación;Tap Off;Coquimbo;Ovalle;Dedicada;;;
71;1442;BESS Halcón 1;4056;oEnergy Development SpA;SUCTD;Observaciones al informe CTD preliminar;12 de abril de 2023 01:12;12;Híbrido;x;-;-;12;;;;30 de septiembre de 2025 00:00;Línea Cardones - Planta Matta 110 kV;110;En Derivación;Tap Off;Atacama;Copiapó;Dedicada;;;
72;1441;BESS Halcon 2;4054;oEnergy Development SpA;SUCTD;Proyecto Autorizado para Declararse en Construcción;11 de abril de 2023 18:31;50;Híbrido;x;-;-;50;;;;30 de septiembre de 2025 00:00;Línea Pozo Almonte - Cerro  Colorado 1x110 kV;110;Conexión en derivación;Tap Off;Tarapacá;Pozo Almonte;Dedicada;04/08/2023 17:32:06;11/2024;
73;1440;BESS Alicanto;4053;Enlasa Generación Chile S.A.;FEHACIENTES;Proyecto autorizado para declararse en construcción;11 de abril de 2023 17:35;1.2;Híbrido;x;-;-;1.2;;;;31 de diciembre de 2023 00:00;S/E San Lorenzo 11 kV;11;Barra Principal;por definir;Atacama;Diego de Almagro;Dedicada;;12/2023;
