Index,Id,Proyecto,NUP,Empresa Solicitante,Tipo,Estado Solicitud,Fecha Recepción,Capacidad [MW],Tipo Proyecto,Sólo BESS,BESS+Solar,BESS+Eólico,Capacidad BESS (MW),Cap. BESS + Solar (MWh),Cap. BESS+ Eolico (MWh),Número de Hrs almacenamiento,Huso,Este,Norte,Fecha Estimada Conexión,Punto de Conexión,Nivel de tension,Barra,Paño,Región,Comuna,Segmento de Transmisión,Latitud,Longitud,Technology
9,1792,Ampliación PMG Yellowstone,,Grenergy Renovables Pacific Limitada,FEHACIENTES,Proyecto ingresado,18 de diciembre de 2023 12:56,9.0,Híbrido,,x,,9.0,9.0,,5.0,19.0,258617.87,6187371.82,30 de abril de 2025 00:00,"S/E Yellowstone 13,2 [kV]",13,Barra Principal,Por definir,Libertador General Bernardo OHiggins,Marchigüe,Dedicada,-34.42696558229313,-71.6267185013129,BESS (Solar)
10,1791,Actualización Fehaciente Parque Solar Nuevo Quillagua Fase 2,,Parque Eólico Quillagua SpA,FEHACIENTES,Proyecto ingresado,15 de diciembre de 2023 13:41,105.0,Híbrido,,x,,105.0,105.0,,5.0,19.0,448708.08,7604959.21,30 de marzo de 2026 00:00,S/E PEQ 220 kV,220,Barra Simple,por definir,Antofagasta,Maria Elena,Dedicada,-21.657871331255013,-69.49572955419703,BESS (Solar)
55,1721,PV+BESS Hipocampo,4540,Grenergy Renovables Pacific Limitada,SAC,Detenida a la espera de definición de ingeniería de la obra,3 de noviembre de 2023 19:30,90.0,Híbrido,,x,,90.0,90.0,,5.0,19.0,247807.0,6217542.0,30 de junio de 2027 00:00,S/E Nueva Litueche 110 kV,110,SE Litueche,por definir,Libertador General Bernardo OHiggins,Litueche,Zonal,-34.15260548038009,-71.73541807812613,BESS (Solar)
71,1694,Avestruz,4523,ALBATROSS RENEWABLES SPA,SAC,Detenida a la espera de definición de ingeniería de la obra,3 de noviembre de 2023 19:02,120.0,Híbrido,,x,,120.0,240.0,,1.666666666666667,19.0,245539.0,6215945.0,1 de diciembre de 2027 00:00,Nueva S/E Litueche 110 kV,110,Doble Barra,H3,Libertador General Bernardo OHiggins,Litueche,Zonal,-34.16644108313814,-71.76046150930631,BESS (Solar)
83,1663,PFV Quinteros,,Membrillo SpA,SUCTD,Solicitud ingresada,17 de octubre de 2023 17:02,135.0,Híbrido,-,x,-,67.0,202.0,,3.0,19.0,277414.71,6370813.31,1 de agosto de 2027 00:00,2x220 kV Nueva Ventana - Nogales,220,Seccionamiento en Interruptor y Medio,"J7, J8",Valparaiso,Puchuncaví,Dedicada,-32.77809220544967,-71.37652001579822,BESS (Solar)
116,1597,PFV + BESS Carrizalillo,4382,Grenergy Renovables Pacific Limitada,SAC,Evaluación de antecedentes y/o requerimientos,4 de septiembre de 2023 15:49,150.0,Híbrido,-,x,-,150.0,150.0,,,19.0,314473.93,6776824.42,31 de diciembre de 2027 00:00,S/E Don Héctor 220 kV,220,Media Diagonal J20-J21,J20-J21,Atacama,Vallenar,Nacional,-29.123537798579513,-70.90687179642273,BESS (Solar)
118,1592,Pita Solar,4377,RWE Renewables Chile SpA,SAC,Detenida a la espera de definición de ingeniería de la obra,4 de septiembre de 2023 15:32,136.4,Híbrido,-,x,-,45.0,136.0,,4.0,19.0,420073.72,7766238.92,1 de junio de 2028 00:00,S/E Nueva Pozo Almonte 220 kV,220,por definir,por definir,Tarapacá,Pozo Almonte,Nacional,-20.19966805164692,-69.76502721871269,BESS (Solar)
121,1585,Parque Fotovoltaico Los Rastrojos,4367,La Serena Ocho SpA,FEHACIENTES,Proyecto autorizado para declararse en construcción,31 de agosto de 2023 11:00,141.0,Híbrido,,x,,140.0,281.0,,5.0,19.0,313971.0,6774369.0,31 de mayo de 2026 00:00,S/E La Huella 220 kV,220,Barra principal,por definir,Coquimbo,La Higuera,Dedicada,-29.145613894836515,-70.9124487164581,BESS (Solar)
146,1480,Llanos del Sol,4121,Aes Chile Inversiones Renovables SpA,SAC,Elaboración Informe de Autorización de Conexión Preliminar,23 de mayo de 2023 13:01,400.0,Híbrido,-,x,-,400.0,800.0,,3.0,19.0,451721.91,7665783.26,5 de septiembre de 2028 00:00,S/E San Simón 220 kV,220,Interruptor y Medio,J6,Tarapacá,Pozo Almonte,Nacional,-21.108414158680937,-69.46486307648878,BESS (Solar)
161,1341,Parque Solar Las Frutillas,3816,Eléctrica Las Frutillas SpA.,SAC,Proyecto autorizado para declararse en construcción,18 de noviembre de 2022 16:01,110.0,Híbrido,-,x,-,70.0,180.0,,,19.0,276000.0,6243500.0,30 de septiembre de 2027 00:00,S/E Las Arañas 66 kV,66,Barra 1 y Barra 2,B6 y B7,Metropolitana de Santiago,San Pedro,Zonal,-33.92513720206948,-71.42321337714712,BESS (Solar)
166,1232,NEPTUNO,3618,Membrillo SpA,SUCTD,Proyecto Autorizado para Declararse en Construcción,18 de agosto de 2022 01:28,192.0,Híbrido,,x,,57.0,192.0,,4.0,19.0,283027.59,6042405.43,31 de diciembre de 2026 00:00,1x220 kV Colbun- Machicura,220,CIRCUITO 1,DERIVACION,Maule,Colbún,Dedicada,-35.73845779290084,-71.39926822740071,BESS (Solar)
167,1230,Apolo,3616,Membrillo SpA,SUCTD,Audiencia y antecedentes adicionales,17 de agosto de 2022 17:38,80.0,Híbrido,-,x,-,24.0,104.0,,4.3,19.0,328261.94,6156261.14,Fecha inválida,Línea 2x220kV Puente Negro –La Higuera	,220,Derivacion,Circuito Norte,Libertador General Bernardo OHiggins,San Fernando,Dedicada,-34.72130416770631,-70.87557075531943,BESS (Solar)
168,1183,Parque Solar Fotovoltaico Dédalo,3496,Enel Green Power del Sur ,SAC,Proyecto autorizado para declararse en construcción,10 de junio de 2022 15:51,500.0,Híbrido,-,x,-,200.0,700.0,,2.0,19.0,458099.19,7407489.84,10 de enero de 2026 00:00,S/E Laberinto 220 kV,220,Doble Barra,J14,Antofagasta,Sierra Gorda,Nacional,-23.44200073313916,-69.41020745488012,BESS (Solar)
175,1089,Llanos de Chulo,3139,Enel Green Power del Sur ,SAC,Evaluación de antecedentes y/o requerimientos,20 de diciembre de 2021 12:34,410.0,Híbrido,-,x,-,100.0,410.0,,4.1,19.0,390598.15,6987156.39,1 de junio de 2026 00:00,S/E Seccionadora San Andrés,220,Interruptor y Medio,Paño J12 y J13,Atacama,Copiapó,Nacional,-27.234067705817193,-70.10492931286272,BESS (Solar)
178,1067,La Aguada ,3086,Enel Green Power del Sur ,SAC,Evaluación de antecedentes y/o requerimientos,18 de noviembre de 2021 20:23,500.0,Híbrido,-,x,-,100.0,500.0,,5.0,19.0,273601.0,6188194.0,1 de diciembre de 2024 00:00,Portezuelo 220 kV ,220,Interruptor y Medio ,Media diagonal J7 y J8 (Referencial),Libertador General Bernardo OHiggins,Peralillo,Nacional,-34.42295042562507,-71.46359206646818,BESS (Solar)
