Index,Id,Proyecto,NUP,Empresa Solicitante,Tipo,Estado Solicitud,Fecha Recepción,Capacidad [MW],Tipo Proyecto,Sólo BESS,BESS+Solar,BESS+Eólico,Capacidad BESS (MW),Cap. BESS + Solar (MWh),Cap. BESS+ Eolico (MWh),Número de Hrs almacenamiento,Huso,Este,Norte,Fecha Estimada Conexión,Punto de Conexión,Nivel de tension,Barra,Paño,Región,Comuna,Segmento de Transmisión,Latitud,Longitud,Technology
0,1806,BESS Rayador,,ALBATROSS RENEWABLES SPA,SAC,Solicitud Ingresada,26 de diciembre de 2023 12:27,250.0,Híbrido,x,,,250.0,,,2.0,19.0,280259.79,6681571.69,31 de mayo de 2027 00:00,Pan de Azúcar,220,Interruptor y medio,J15,Coquimbo,Coquimbo,Nacional,-29.97707810472634,-71.27750990202651,BESS
1,1805,BESS DHE,,Transmisión del Melado SpA,SAC,Solicitud Ingresada,22 de diciembre de 2023 23:33,250.0,Híbrido,x,,,250.0,,,5.0,19.0,312375.0,6776884.0,29 de febrero de 2028 00:00,Don Héctor 220 kV,220,Barra Principal,J23-J24,Atacama,Vallenar,Nacional,-29.122691811211897,-70.9284249116698,BESS
2,1804,BESS Halcón 25,,oEnergy Development SpA,SUCTD,Solicitud ingresada,22 de diciembre de 2023 22:25,20.0,Híbrido,x,,,20.0,,,,19.0,324070.72,7002763.43,31 de marzo de 2027 00:00,S/E Caldera 23 kV,23,Barra 2,52E8,Atacama,Caldera,Dedicada,-27.086318783847034,-70.77439888716562,BESS
3,1803,BESS VAL,,Transmisión del Melado SpA,SAC,Solicitud Ingresada,22 de diciembre de 2023 11:17,150.0,Híbrido,x,,,150.0,,,1.0,18.0,655258.0,5592919.0,29 de febrero de 2028 00:00,Valdivia 220 kV,220,Barra Principal,J2,Los Ríos,Valdivia,Nacional,-39.79953463494645,-73.18647985074142,BESS
4,1802,BESS Dolores,,Cielpanel SpA,SAC,Solicitud Ingresada,21 de diciembre de 2023 20:44,50.0,Híbrido,x,,,50.0,,,,19.0,400779.78,7830620.96,30 de septiembre de 2024 00:00,S/E Dolores 110 kV,110,Barra 110 kV,Paño Conexión Barra 110 kV,Tarapacá,Iquique,Zonal,-19.61704088479716,-69.94621982858843,BESS
5,1801,BESS Los Alerces,,BESS Los Alerces SpA,SAC,Solicitud Ingresada,21 de diciembre de 2023 14:46,50.0,Híbrido,x,,,50.0,,,,18.0,671564.33,5410553.15,31 de diciembre de 2027 00:00,S/E PUERTO MONTT (STS),23,Barra 23kV N°1 y N°2,52E8 y 52E9,Los Lagos,Puerto Montt,Nacional,-41.438274908647436,-72.9464250216564,BESS
6,1800,BESS CPI,,Transmisión del Melado SpA,SAC,Solicitud Ingresada,20 de diciembre de 2023 19:38,250.0,Híbrido,x,,,250.0,,,5.0,19.0,411432.0,7013030.66,29 de febrero de 2028 00:00,Carrera Pinto 220 kV,220,Barra Principal,J1,Atacama,Copiapó,Nacional,-27.001993756059427,-69.89268026837703,BESS
7,1798,BESS PAZ,4629,Transmisión del Melado SpA,SAC,Evaluación Admisibilidad,19 de diciembre de 2023 17:00,150.0,Híbrido,x,,,150.0,,,5.0,19.0,280375.0,6681652.0,29 de febrero de 2028 00:00,Pan de Azúcar 220 kV,220,Barra Principal,J15,Coquimbo,Coquimbo,Nacional,-29.976374549305444,-71.27630006813389,BESS
11,1790,Ampliación BESS Gabriela 220 MW,,Grenergy Renovables Pacific Limitada,FEHACIENTES,Proyecto ingresado,14 de diciembre de 2023 15:38,220.0,Híbrido,x,,,220.0,,,2.0,19.0,525475.94,7420619.87,30 de junio de 2025 00:00,S/E Elevadora PFV Gabriela 33 kV,33,Barra Principal,Por definir,Antofagasta,Sierra Gorda,Dedicada,-23.32373794822339,-68.75081175754815,BESS
12,1789,BESS Víctor Jara 200 MW,,Grenergy Renovables Pacific Limitada,FEHACIENTES,Proyecto ingresado,14 de diciembre de 2023 15:31,200.0,Híbrido,x,,,200.0,,,5.0,19.0,434112.6,7758043.56,31 de enero de 2027 00:00,S/E Elevadora PFV Víctor Jara 33 kV,33,Barra Principal,por definir,Tarapacá,Pozo Almonte,Dedicada,-20.274253982813153,-69.6309573880984,BESS
13,1788,BESS Halcón 16,,oEnergy Development SpA,SAC,Solicitud Ingresada,14 de diciembre de 2023 15:16,150.0,Híbrido,x,,,150.0,,,,19.0,269507.05,6353580.18,30 de abril de 2027 00:00,S/E Torquemada 110 kV,110,Barra 2,H9,Valparaiso,Concón,Zonal,-32.93177135446406,-71.46517697811429,BESS
15,1785,BESS Peteroa,,Energy Head SpA,SUCTD,Solicitud ingresada,12 de diciembre de 2023 17:44,60.0,Híbrido,x,,,60.0,,,5.0,19.0,306850.51,6138334.6,30 de septiembre de 2026 00:00,Planta MDP Teno - Teno 1x154 kV,154,Barra simple,Por definir,Maule,Teno,Dedicada,-34.87902750396105,-71.11339525508339,BESS
16,1783,Los Mejillones LCH,,Ríos Chile Machalí SpA,SUCTD,Solicitud ingresada,7 de diciembre de 2023 19:37,225.0,Híbrido,x,,,225.0,,,,19.0,364086.0,7440530.0,31 de mayo de 2028 00:00,Línea 2x220 kV TEN GIS - Changos,220,Tap-Off,Circuito 1,Antofagasta,Mejillones,Dedicada,-23.13849459651964,-70.32750488076475,BESS
17,1778,Ríos Centinela del Tesoro,,Ríos Centinela SpA,SUCTD,Solicitud ingresada,5 de diciembre de 2023 18:45,50.0,Híbrido,x,,,50.0,,,,19.0,489964.46,7464820.92,31 de mayo de 2028 00:00,S/E El Tesoro 220 kV,220,Barra principal,J1,Antofagasta,Sierra Gorda,Dedicada,-22.924624356896985,-69.09787106435547,BESS
18,1777,BESS WILLKA 33 kV,,Inversiones Fotovoltaicas SpA,FEHACIENTES,Proyecto ingresado,4 de diciembre de 2023 16:43,61.0,Híbrido,x,,,61.0,,,,19.0,382833.23,7954358.48,31 de marzo de 2025 00:00,S/E Willka 33 kV,33,Barra Principal,F5,Arica y Parinacota,Arica,Dedicada,-18.49797909630091,-70.10988267416954,BESS
19,1774,La Quinta de Fuentecilla,,Ríos Chile San Fernando SpA,SAC,Solicitud Ingresada,2 de diciembre de 2023 08:12,50.0,Híbrido,x,,,50.0,,,4.0,19.0,308064.0,6188280.0,31 de mayo de 2028 00:00,S/E Fuentecilla 66 kV,66,Barra principal,B3,Libertador General Bernardo OHiggins,San Vicente de Tagua Tagua,Zonal,-34.429153997952454,-71.08879835156209,BESS
