Unnamed: 0,Latitud,Longitud,NOMBRE,ID_LIN_TRA,PROPIEDAD,TENSION_KV,ESTADO,F_OPERACIO,LONG_KM,PROVINCIA
0,-26.827677561999963,-69.26824026599996,CARRERA PINTO - LA COIPA 220KV,671.0,CIA. MINERA MANTOS DE ORO,220.0,EN OPERACION,1991-01-01,78.43,COPIAPO
1,-26.82732838699997,-69.27001435999995,CARRERA PINTO - LA COIPA 220KV,671.0,CIA. MINERA MANTOS DE ORO,220.0,EN OPERACION,1991-01-01,78.43,COPIAPO
2,-26.82697603099996,-69.27208383399994,CARRERA PINTO - LA COIPA 220KV,671.0,CIA. MINERA MANTOS DE ORO,220.0,EN OPERACION,1991-01-01,78.43,COPIAPO
3,-26.826429793999974,-69.27480631099996,CARRERA PINTO - LA COIPA 220KV,671.0,CIA. MINERA MANTOS DE ORO,220.0,EN OPERACION,1991-01-01,78.43,COPIAPO
4,-26.82596351699993,-69.27762580799998,CARRERA PINTO - LA COIPA 220KV,671.0,CIA. MINERA MANTOS DE ORO,220.0,EN OPERACION,1991-01-01,78.43,COPIAPO
5,-26.825182624999968,-69.28146195799997,CARRERA PINTO - LA COIPA 220KV,671.0,CIA. MINERA MANTOS DE ORO,220.0,EN OPERACION,1991-01-01,78.43,COPIAPO
6,-26.82528864099993,-69.28464062299997,CARRERA PINTO - LA COIPA 220KV,671.0,CIA. MINERA MANTOS DE ORO,220.0,EN OPERACION,1991-01-01,78.43,COPIAPO
7,-26.826694069999974,-69.28596391199994,CARRERA PINTO - LA COIPA 220KV,671.0,CIA. MINERA MANTOS DE ORO,220.0,EN OPERACION,1991-01-01,78.43,COPIAPO
8,-26.82828148599998,-69.28667795899997,CARRERA PINTO - LA COIPA 220KV,671.0,CIA. MINERA MANTOS DE ORO,220.0,EN OPERACION,1991-01-01,78.43,COPIAPO
9,-26.83157952699997,-69.28631533799995,CARRERA PINTO - LA COIPA 220KV,671.0,CIA. MINERA MANTOS DE ORO,220.0,EN OPERACION,1991-01-01,78.43,COPIAPO
10,-26.83671468999995,-69.28782631599995,CARRERA PINTO - LA COIPA 220KV,671.0,CIA. MINERA MANTOS DE ORO,220.0,EN OPERACION,1991-01-01,78.43,COPIAPO
11,-26.837993061999956,-69.28879560299998,CARRERA PINTO - LA COIPA 220KV,671.0,CIA. MINERA MANTOS DE ORO,220.0,EN OPERACION,1991-01-01,78.43,COPIAPO
12,-26.839329266999982,-69.28974611699994,CARRERA PINTO - LA COIPA 220KV,671.0,CIA. MINERA MANTOS DE ORO,220.0,EN OPERACION,1991-01-01,78.43,COPIAPO
13,-26.841538915999934,-69.29293600099999,CARRERA PINTO - LA COIPA 220KV,671.0,CIA. MINERA MANTOS DE ORO,220.0,EN OPERACION,1991-01-01,78.43,COPIAPO
14,-26.843741764999947,-69.29571639999995,CARRERA PINTO - LA COIPA 220KV,671.0,CIA. MINERA MANTOS DE ORO,220.0,EN OPERACION,1991-01-01,78.43,COPIAPO
15,-26.846170233999946,-69.29795131199995,CARRERA PINTO - LA COIPA 220KV,671.0,CIA. MINERA MANTOS DE ORO,220.0,EN OPERACION,1991-01-01,78.43,COPIAPO
16,-26.84884607999993,-69.30060264099995,CARRERA PINTO - LA COIPA 220KV,671.0,CIA. MINERA MANTOS DE ORO,220.0,EN OPERACION,1991-01-01,78.43,COPIAPO
17,-26.85090518499993,-69.30259764199997,CARRERA PINTO - LA COIPA 220KV,671.0,CIA. MINERA MANTOS DE ORO,220.0,EN OPERACION,1991-01-01,78.43,COPIAPO
