,ID_LIN_TRA,NOMBRE,CIRCUITO,TRAMO,PROPIEDAD,TENSION_KV,LONG_KM,ESTADO,F_OPERACIO,FECH_ACT,PROVINCIA,Latitud,Longitud
0,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-30.119299507999983,-71.21629753199994
1,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-30.119104474999972,-71.21574832799996
2,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-30.11812342299993,-71.21421324099998
3,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-30.116428714999984,-71.21311680699995
4,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-30.11468271399997,-71.21192128799998
5,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-30.101293623999936,-71.21492250899996
6,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-30.08524221099998,-71.21135633899996
7,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-30.08026730299997,-71.21150763399999
8,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-30.063759323999932,-71.20437829599996
9,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-30.043786732999934,-71.19698272599999
10,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-30.04012178299996,-71.19570767299996
11,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-30.038991287999977,-71.19537769799996
12,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-30.03007985199997,-71.19316586899998
13,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-30.02430693599996,-71.19172122799995
14,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-30.01833827699994,-71.19053011399996
15,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-30.012135830999966,-71.18934706399995
16,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-30.000007557999936,-71.18693630999996
17,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.997907174999966,-71.18585313699998
18,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.99015950699993,-71.18202068999994
19,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.98927802199995,-71.18151500499994
20,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.987948555999935,-71.17847652099994
21,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.984423720999928,-71.17057089999997
22,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.98327679199997,-71.16791745999996
23,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.978789436999932,-71.15865801999996
24,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.973666656999967,-71.14661522699998
25,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.957715964999977,-71.13403119099996
26,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.956471373999932,-71.13312070599994
27,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.949538047999965,-71.13026888199994
28,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.94257875699998,-71.12782173399995
29,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.936777608999932,-71.12944053199993
30,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.933194856999933,-71.12599896799998
31,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.926893315999962,-71.11203041599998
32,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.922619732999976,-71.10656117999997
33,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.920995536999953,-71.10618277699996
34,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.916371884999933,-71.11049344799994
35,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.90871068299998,-71.11295833199995
36,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.89954626499997,-71.11634114399999
37,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.895014855999932,-71.11768840199994
38,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.887294949999955,-71.12355657299997
39,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.87978235299994,-71.13825462899996
40,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.877629051999975,-71.15112227999998
41,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.877480263999928,-71.15331655099999
42,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.876544912999975,-71.15557831799998
43,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.87193574199995,-71.16975788199994
44,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.865615972999933,-71.18844574499997
45,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.864267337999934,-71.19237978399997
46,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.84244591199996,-71.21853772999998
47,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.824982403999968,-71.22805509399996
48,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.803868962999957,-71.23342284299997
49,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.760062345999984,-71.22976954599994
50,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.748136144999933,-71.22944042499995
51,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.747208844999932,-71.22941595299994
52,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.744107175999943,-71.22860773999997
53,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.736399889999973,-71.22574520999996
54,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.731230874999937,-71.22103416699997
55,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.727716922999946,-71.21697267099995
56,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.722039498999948,-71.21195722499994
57,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.718191462999982,-71.20863926099997
58,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.70973913599994,-71.20816287399998
59,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.698880929999973,-71.21581040699994
60,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.691455923999968,-71.22636894499993
61,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.682421357999942,-71.24298369699994
62,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.681193986999972,-71.24592537799998
63,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.674142743999937,-71.24939634499998
64,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.660071211999934,-71.25274432899994
65,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.64335794599998,-71.25692129499998
66,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.60546628999998,-71.26433191099994
67,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.552915903999974,-71.25194472999993
68,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.536138308999966,-71.24875686199994
69,905.0,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,C1 - C2,NUEVA MAITENCILLO - NUEVA PAN DE AZUCAR,INTERCHILE S.A.,500.0,212.39,EN OPERACION,2018-05-31,2023-04-20,HUASCO-ELQUI,-29.50324561399998,-71.23862121199994
