Dedicated tx lines,n_std,typical use,Design Capacity [MVA],Available Technical Capacity (+) 2023 [MVA],Av. Tec. Capacity (+) 2024 [MVA],Av. Tec. Capacity (+) 2025 [MVA],Av. Tec. Capacity (+) 2026 [MVA],Av. Tec. Capacity (+) 2027 [MVA],Av. Tec. Capacity (+) 2028 [MVA],Av. Tec. Capacity (+) 2029 [MVA],Av. Tec. Capacity (+) 2030 [MVA],Variation 2023->2030 [%],Available Technical Capacity (-) 2023 [MVA],Av. Tec. Capacity (-) 2024 [MVA],Av. Tec. Capacity (-) 2025 [MVA],Av. Tec. Capacity (-) 2026 [MVA],Av. Tec. Capacity (-) 2027 [MVA],Av. Tec. Capacity (-) 2028 [MVA],Av. Tec. Capacity (-) 2029 [MVA],Av. Tec. Capacity (-) 2030 [MVA],Variation 2023->2030 [%](-),Region
Línea 1x66 kV Central Diesel Arica - Tap Quiani,1,Inyección,41,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,"0,0%",34.5,33.8,32.9,31.9,31.4,30.4,30,30,-10%,Región de Arica y Parinacota
Línea 1x66 kV Tap Quiani - Arica,1,Mixto,41,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,"0,0%",32.1,31.4,30.5,29.5,29,28,27.6,27.6,-10%,Región de Arica y Parinacota
Línea 1x66 kV Chapiquiña - Tap El Aguila,2,Mixto,28.8,18,18,18,18,18,18,18,18,"0,0%",28.5,28.5,28.4,28.4,28.3,28.3,28.3,28.3,0%,Región de Arica y Parinacota
Línea 1x66 kV Tap Off El Aguila - Arica,2,Mixto,30.4,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,"0,0%",27,26.6,26.1,25.6,25.3,24.8,24.6,24.6,-10%,Región de Arica y Parinacota
Línea 1x220 kV Collahuasi - Quebrada Blanca,3,Retiro,367,352.8,1,352.8,352.8,352.8,352.8,352.8,352.8,"0,0%",367,367,367,367,367,367,367,367,0%,Región de Tarapacá
Línea 2x220 kV Encuentro - Collahuasi,3,Retiro,193.2,24.4,1,24.4,24.4,24.4,24.4,24.4,24.4,"0,0%",168.2,168.2,168.2,168.2,168.2,168.2,168.2,168.2,0%,Región de Tarapacá
Línea 2x220 kV Lagunas - Collahuasi,3,Retiro,171.5,19.9,1,19.9,19.9,19.9,19.9,19.9,19.9,"0,0%",108.3,108.3,108.3,108.3,108.3,108.3,108.3,108.3,0%,Región de Tarapacá
Transformador N°1 Pozo Almonte 110/66/13.8 KV,4,Retiro,30,0,0,0,0,0,0,0,0,"0,0%",5,5,5,5,5,5,5,5,0%,Región de Tarapacá
Línea 1x66 kV Tap Off Tamarugal - La Huayca II,6,Inyección,65.5,65.5,65.5,65.5,65.5,65.5,65.5,65.5,65.5,"0,0%",40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,0%,Región de Tarapacá
Línea 1x66 kV Tap Off Nueva Victoria - Llamara,7,Retiro,43.6,39.1,39.1,39.1,39.1,39.1,39.1,39.1,39.1,"0,0%",43.6,43.6,43.6,43.6,43.6,43.6,43.6,43.6,0%,Región de Tarapacá
Línea 1x66 kV Tap Off Nueva Victoria - Sur Viejo,7,Retiro,43.4,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,"0,0%",43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,0%,Región de Tarapacá
Transformador N°1 Tap Off Nueva Victoria 220/66/23 kV,7,Retiro,50,29,29,29,29,29,29,29,29,"0,0%",50,50,50,50,50,50,50,50,0%,Región de Tarapacá
Línea 1x220 kV Santa Rita - San Simon,9,Inyección,251.5,163.4,163.4,163.4,163.4,163.4,163.4,163.4,163.4,"0,0%",251.5,251.5,251.5,251.5,251.5,251.5,251.5,251.5,0%,Región de Tarapacá
Línea 1x220 kV Lagunas - Granja Solar,10,Inyección,290,290,290,290,290,290,290,290,290,"0,0%",185,185,185,185,185,185,185,185,0%,Región de Tarapacá
Línea 1x220 kV Lagunas - Matilla,11,Inyección,289.9,289.9,289.9,289.9,289.9,289.9,289.9,289.9,289.9,"0,0%",139.9,139.9,139.9,139.9,139.9,139.9,139.9,139.9,0%,Región de Tarapacá
Línea 2x220 kV Puerto Patache - Patillos,215,Retiro,229,204,1,204,204,204,204,204,204,"0,0%",229,229,229,229,229,229,229,229,0%,Región de Tarapacá
Línea 1x110 kV Pozo Almonte - Cerro Colorado,19,Retiro,137.9,102.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,"30,0%",57.9,57.9,57.9,57.9,57.9,57.9,57.9,57.9,0%,Región de Tarapacá
Línea 2x220 kV Lagunas - Puquios,229,Retiro,362.2,217.2,137.2,137.2,132.2,132.2,132.2,132.2,132.2,"-40,0%",362.2,362.2,362.2,362.2,362.2,362.2,362.2,362.2,0%,Región de Tarapacá
Línea 1x220 kV Tiquima - Paguana,229,Retiro,397.2,282.2,202.2,202.2,197.2,197.2,197.2,197.2,197.2,"-30,0%",397.2,397.2,397.2,397.2,397.2,397.2,397.2,397.2,0%,Región de Tarapacá
