,OBJECTID,ID_GE_BIO,NOMBRE,PROPIEDAD,TIPO,MEDIO_GENE,COMBUSTIBL,POTENCIAMW,UNIDADES,RCA,SIST_ELECT,ESTADO,F_OPERACIO,COORD_ESTE,COORD_NORT,HUSO,DATUM,REGION,PROVINCIA,COMUNA,FUENTE_BAS,FECH_CREA,FECH_ACT,geometry,Latitud,Longitud
0,190,3,ANCALI,AGRICOLA ANCALI LTDA.,BIOENERGIA,PMGD,BIOGAS,1.56,1,NO APLICA,SISTEMA ELECTRICO NACIONAL,OPERATIVA,5/5/2013 8:00 p. m.,208569,5834520,19 SUR,WGS 1984,BIOBIO,BIO-BIO,LOS ANGELES,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.30060790499994 -37.59027037708771),-37.59027037708771,-72.30060790499994
1,191,4,ARAUCO,CELULOSA ARAUCO,BIOENERGIA, ,BIOMASA,24.0,2,125/2008,SISTEMA ELECTRICO NACIONAL,OPERATIVA,4/9/1996 8:00 p. m.,124779,5873570,19 SUR,WGS 1984,BIOBIO,ARAUCO,ARAUCO,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-73.22765982499999 -37.20892973209096),-37.20892973209096,-73.22765982499999
2,192,14,CELCO,CELULOSA ARAUCO,BIOENERGIA,PMG,BIOMASA-PETROLEO N°6,8.0,1,244/1996,SISTEMA ELECTRICO NACIONAL,OPERATIVA,12/31/1995 9:00 p. m.,189375,6085700,19 SUR,WGS 1984,MAULE,TALCA,CONSTITUCION,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.41688450499998 -35.32369802810952),-35.32369802810952,-72.41688450499998
3,193,15,LEPANTO,ENERKEY SPA,BIOENERGIA,PMGD,BIOGAS,2.0,1,NO APLICA,SISTEMA ELECTRICO NACIONAL,OPERATIVA,12/31/2016 9:00 p. m.,345188,6277780,19 SUR,WGS 1984,METROPOLITANA DE SANTIAGO,MAIPO,SAN BERNARDO,COMISION NACIONAL DE ENERGIA,9/29/2017 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-70.66907869999994 -33.62854479712948),-33.62854479712948,-70.66907869999994
4,194,16,CHOLGUAN,PANELES ARAUCO,BIOENERGIA, ,BIOMASA-PETROLEO N°6,13.0,1, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,6/5/2003 8:00 p. m.,227628,5882430,19 SUR,WGS 1984,NUBLE,DIGUILLIN,YUNGAY,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.06742014799994 -37.164877835091374),-37.164877835091374,-72.06742014799994
5,195,17,CMPC LAJA,CMPC CELULOSA S.A.,BIOENERGIA, ,BIOMASA,40.447,1,203/2009,SISTEMA ELECTRICO NACIONAL,OPERATIVA,4/30/2013 8:00 p. m.,170983,5866446,19 SUR,WGS 1984,BIOBIO,BIO-BIO,LAJA,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.71128519799998 -37.2904425850903),-37.2904425850903,-72.71128519799998
6,196,18,CMPC PACIFICO,CMPC CELULOSA S.A.,BIOENERGIA, ,BIOMASA,33.0,3,3825/2009,SISTEMA ELECTRICO NACIONAL,OPERATIVA,12/31/2013 9:00 p. m.,193330,5811600,19 SUR,WGS 1984,LA ARAUCANIA,MALLECO,COLLIPULLI,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.48255506899994 -37.791525897086075),-37.791525897086075,-72.48255506899994
7,197,19,CMPC SANTA FE,CMPC CELULOSA S.A.,BIOENERGIA,PMG,BIOMASA,5.0,3, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,4/9/2015 9:00 p. m.,176808,5841700,19 SUR,WGS 1984,BIOBIO,BIO-BIO,NACIMIENTO,COMISION NACIONAL DE ENERGIA,12/30/2015 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.65651784599999 -37.51508548008835),-37.51508548008835,-72.65651784599999
8,198,20,COELEMU,ENERGIA LEON S.A.,BIOENERGIA,PMGD,BIOMASA,5.8902,1,275/2012,SISTEMA ELECTRICO NACIONAL,OPERATIVA,3/3/2014 9:00 p. m.,165316,5952890,19 SUR,WGS 1984,NUBLE,ITATA,COELEMU,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.73691966299998 -36.5108439400974),-36.5108439400974,-72.73691966299998
9,199,22,TER COPIULEMU,DUERO ENERGIA COPIULEMU SPA,BIOENERGIA,PMGD,BIOGAS,0.95,1,NO APLICA,SISTEMA ELECTRICO NACIONAL,OPERATIVA,11/14/2019 9:00 p. m.,155883,5912994,19 SUR,WGS 1984,BIOBIO,CONCEPCION,FLORIDA,COMISION NACIONAL DE ENERGIA,12/30/2018 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.85995151399999 -36.866344421094034),-36.866344421094034,-72.85995151399999
