,OBJECTID,ID_GE_HIDRO,NOMBRE,PROPIEDAD,TIPO,MEDIO_GENE,COMBUSTIBL,POTENCIAMW,UNIDADES,RCA,SIST_ELECT,ESTADO,F_OPERACIO,COORD_ESTE,COORD_NORT,HUSO,DATUM,REGION,PROVINCIA,COMUNA,FUENTE_BAS,FECH_CREA,FECH_ACT,geometry,Latitud,Longitud
0,1401,1,ABANICO,ENEL GENERACION,HIDRAULICA PASADA, ,NO APLICA,92.71,4, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,12/31/1947 8:00 p. m.,279546,5861792,19 SUR,WGS 1984,BIOBIO,BIO-BIO,ANTUCO,COMISION NACIONAL DE ENERGIA,6/29/2018 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-71.48940111999997 -37.36442524208963),-37.36442524208963,-71.48940111999997
1,1402,8,ALFALFAL,AES ANDES,HIDRAULICA PASADA, ,NO APLICA,177.555,2, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,12/31/1990 9:00 p. m.,389218,6292506,19 SUR,WGS 1984,METROPOLITANA DE SANTIAGO,CORDILLERA,SAN JOSE DE MAIPO,COMISION NACIONAL DE ENERGIA,6/29/2018 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-70.19265748899994 -33.501247556131105),-33.501247556131105,-70.19265748899994
2,1403,9,ALLIPEN,HIDROELECTRICA ALLIPEN S.A.,HIDRAULICA PASADA,PMGD,NO APLICA,2.5961,2,031/2011,SISTEMA ELECTRICO NACIONAL,OPERATIVA,5/2/2012 8:00 p. m.,220888,5678430,19 SUR,WGS 1984,LA ARAUCANIA,CAUTIN,CUNCO,COMISION NACIONAL DE ENERGIA,6/29/2018 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.22289113899996 -38.998652565077045),-38.998652565077045,-72.22289113899996
3,1404,11,ALTO HOSPICIO,ENERNUEVAS S.A.,HIDRAULICA PASADA,PMGD,NO APLICA,1.1,1, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,11/25/2010 9:00 p. m.,384094,7760400,19 SUR,WGS 1984,TARAPACA,IQUIQUE,ALTO HOSPICIO,COMISION NACIONAL DE ENERGIA,6/29/2018 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-70.10974619199999 -20.250585079386592),-20.250585079386592,-70.10974619199999
4,1405,13,ALFALFAL II,ALTO MAIPO SPA,HIDRAULICA PASADA, ,NO APLICA,324.2,2,256/2009,SISTEMA ELECTRICO NACIONAL,OPERATIVA,3/25/2022 9:00 p. m.,385400,6284100,19 SUR,WGS 1984,METROPOLITANA DE SANTIAGO,CORDILLERA,SAN JOSE DE MAIPO,COMISION NACIONAL DE ENERGIA,5/21/2008 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-70.23483069799994 -33.57664618113014),-33.57664618113014,-70.23483069799994
5,1406,14,LAS LAJAS,ALTO MAIPO SPA,HIDRAULICA PASADA, ,NO APLICA,146.25,2,256/2009,SISTEMA ELECTRICO NACIONAL,OPERATIVA,3/25/2022 9:00 p. m.,380220,6286690,19 SUR,WGS 1984,METROPOLITANA DE SANTIAGO,CORDILLERA,SAN JOSE DE MAIPO,COMISION NACIONAL DE ENERGIA,5/21/2008 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-70.29028637099998 -33.55272205313045),-33.55272205313045,-70.29028637099998
6,1407,15,ALTO RENAICO,ESPINOS S.A.,HIDRAULICA PASADA,PMG,NO APLICA,1.378,1,260/2012,SISTEMA ELECTRICO NACIONAL,OPERATIVA,11/18/2018 9:00 p. m.,200316,5810892,19 SUR,WGS 1984,BIOBIO,BIO-BIO,MULCHEN,COMISION NACIONAL DE ENERGIA,2/28/2012 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.40364449499998 -37.800213258086),-37.800213258086,-72.40364449499998
7,1408,18,ANGOSTURA,COLBUN S.A.,HIDRAULICA EMBALSE, ,NO APLICA,321.0,3,281/2009,SISTEMA ELECTRICO NACIONAL,OPERATIVA,3/31/2014 9:00 p. m.,251710,5822338,19 SUR,WGS 1984,BIOBIO,BIO-BIO,SANTA BARBARA,COMISION NACIONAL DE ENERGIA,6/29/2018 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-71.81674346899996 -37.712589346086695),-37.712589346086695,-71.81674346899996
8,1409,19,ANTUCO,ENEL GENERACION,HIDRAULICA PASADA, ,NO APLICA,326.125,2, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,12/31/1980 9:00 p. m.,267212,5867515,19 SUR,WGS 1984,BIOBIO,BIO-BIO,ANTUCO,COMISION NACIONAL DE ENERGIA,6/29/2018 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-71.62675184799997 -37.30988062509009),-37.30988062509009,-71.62675184799997
9,1410,21,ARRAYAN,HIDROELECTRICA ARRAYAN,HIDRAULICA PASADA,PMGD,NO APLICA,1.2,1,NO APLICA,SISTEMA ELECTRICO NACIONAL,OPERATIVA,12/19/2017 9:00 p. m.,367302,6306764,19 SUR,WGS 1984,METROPOLITANA DE SANTIAGO,SANTIAGO,LO BARNECHEA,COMISION NACIONAL DE ENERGIA,6/29/2018 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-70.42643685099995 -33.37018857613284),-33.37018857613284,-70.42643685099995
