,OBJECTID,NOMBRE,PROPIEDAD,TIPO,MEDIO_GENE,COMBUSTIBL,POTENCIAMW,UNIDADES,RCA,SIST_ELECT,ESTADO,F_OPERACIO,COORD_ESTE,COORD_NORT,HUSO,DATUM,REGION,PROVINCIA,COMUNA,FUENTE_BAS,FECH_CREA,FECH_ACT,ID_GE_SOLAR,geometry,Latitud,Longitud
0,1533,ALICAHUE,PARQUE FOTOVOLTAICO ALICAHUE SOLAR SPA,FOTOVOLTAICO,PMGD,NO APLICA,2.998,0,NO APLICA,SISTEMA ELECTRICO NACIONAL,OPERATIVA,1/18/2019 9:00 p. m.,321436,6411744,19 SUR,WGS 1984,VALPARAISO,PETORCA,CABILDO,COMISION NACIONAL DE ENERGIA,6/29/2018 8:00 p. m.,6/29/2023 8:00 p. m.,7,POINT (-70.89895788199993 -32.41709764014565),-32.41709764014565,-70.89895788199993
1,1534,ALMEYDA,ALMEYDA SPA,FOTOVOLTAICO, ,NO APLICA,56.0,0,219/2016,SISTEMA ELECTRICO NACIONAL,OPERATIVA,5/4/2020 8:00 p. m.,390364,7102833,19 SUR,WGS 1984,ATACAMA,CHANARAL,CHANARAL,COMISION NACIONAL DE ENERGIA,7/26/2016 8:00 p. m.,6/29/2023 8:00 p. m.,8,POINT (-70.09723720199997 -26.189803415252083),-26.189803415252083,-70.09723720199997
2,1535,ALTO SOLAR,ALTOS DE LA MANGA ENERGY SPA,FOTOVOLTAICO,PMGD,NO APLICA,2.956,0,NO APLICA,SISTEMA ELECTRICO NACIONAL,OPERATIVA,12/13/2018 9:00 p. m.,259382,6245890,19 SUR,WGS 1984,METROPOLITANA DE SANTIAGO,MELIPILLA,SAN PEDRO,COMISION NACIONAL DE ENERGIA,9/29/2018 9:00 p. m.,6/29/2023 8:00 p. m.,10,POINT (-71.60217362099996 -33.899936453126074),-33.899936453126074,-71.60217362099996
3,1536,ALTOS DE TIL TIL,ELECTRICA ALTOS DE TIL TIL SPA,FOTOVOLTAICO,PMGD,NO APLICA,1.7,0,NO APLICA,SISTEMA ELECTRICO NACIONAL,OPERATIVA,6/13/2019 8:00 p. m.,323741,6336378,19 SUR,WGS 1984,METROPOLITANA DE SANTIAGO,CHACABUCO,TILTIL,COMISION NACIONAL DE ENERGIA,12/30/2018 9:00 p. m.,6/29/2023 8:00 p. m.,11,POINT (-70.88875088299994 -33.096953078136394),-33.096953078136394,-70.88875088299994
4,1537,ALTURAS DE OVALLE,GR HUINGAN SPA,FOTOVOLTAICO,PMGD,NO APLICA,6.0,0,048/2017,SISTEMA ELECTRICO NACIONAL,OPERATIVA,10/3/2016 9:00 p. m.,285166,6617842,19 SUR,WGS 1984,COQUIMBO,LIMARI,OVALLE,COMISION NACIONAL DE ENERGIA,9/29/2017 9:00 p. m.,6/29/2023 8:00 p. m.,12,POINT (-71.23970369799997 -30.55262143317347),-30.55262143317347,-71.23970369799997
5,1538,AMPARO DEL SOL,PARQUE SOLAR AMPARO DEL SOL SPA,FOTOVOLTAICO,PMGD,NO APLICA,2.955,0,NO APLICA,SISTEMA ELECTRICO NACIONAL,OPERATIVA,5/31/2018 8:00 p. m.,276781,6611064,19 SUR,WGS 1984,COQUIMBO,LIMARI,OVALLE,COMISION NACIONAL DE ENERGIA,12/30/2017 9:00 p. m.,6/29/2023 8:00 p. m.,14,POINT (-71.32852091699993 -30.61220174517257),-30.61220174517257,-71.32852091699993
6,1539,ANAKENA,ANAKENA SPA,FOTOVOLTAICO,PMGD,NO APLICA,9.0,0,069/2018,SISTEMA ELECTRICO NACIONAL,OPERATIVA,5/9/2022 8:00 p. m.,294172,6610211,19 SUR,WGS 1984,COQUIMBO,LIMARI,OVALLE,COMISION NACIONAL DE ENERGIA,12/30/2017 9:00 p. m.,6/29/2023 8:00 p. m.,16,POINT (-71.14738741799994 -30.623014233172405),-30.623014233172405,-71.14738741799994
7,1540,ANDES SOLAR,AES ANDES,FOTOVOLTAICO, ,NO APLICA,21.425,0,151/2012,SISTEMA ELECTRICO NACIONAL,OPERATIVA,5/27/2016 8:00 p. m.,542217,7344765,19 SUR,WGS 1984,ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,COMISION NACIONAL DE ENERGIA,12/30/2016 9:00 p. m.,6/29/2023 8:00 p. m.,17,POINT (-68.58490714699997 -24.00854670329805),-24.00854670329805,-68.58490714699997
8,1541,ARIZTIA,FOTOVOLTAICA ARIZTIA SPA,FOTOVOLTAICO,PMGD,NO APLICA,2.7,0,NO APLICA,SISTEMA ELECTRICO NACIONAL,OPERATIVA,8/19/2019 8:00 p. m.,286045,6421999,19 SUR,WGS 1984,VALPARAISO,PETORCA,LA LIGUA,COMISION NACIONAL DE ENERGIA,9/29/2018 9:00 p. m.,6/29/2023 8:00 p. m.,24,POINT (-71.27277784099994 -32.31842489814704),-32.31842489814704,-71.27277784099994
9,1542,ASTILLAS,GR CARZA SPA,FOTOVOLTAICO,PMGD,NO APLICA,9.0,0,069/2019,SISTEMA ELECTRICO NACIONAL,OPERATIVA,11/9/2022 9:00 p. m.,315248,6839406,19 SUR,WGS 1984,ATACAMA,HUASCO,VALLENAR,COMISION NACIONAL DE ENERGIA,9/29/2018 9:00 p. m.,6/29/2023 8:00 p. m.,25,POINT (-70.88869210199994 -28.559087782207076),-28.559087782207076,-70.88869210199994
