,OBJECTID,ID_GE_TERM,NOMBRE,PROPIEDAD,TIPO,MEDIO_GENE,COMBUSTIBL,POTENCIAMW,UNIDADES,RCA,SIST_ELECT,ESTADO,F_OPERACIO,COORD_ESTE,COORD_NORT,HUSO,DATUM,REGION,PROVINCIA,COMUNA,FUENTE_BAS,FECH_CREA,FECH_ACT,geometry,Latitud,Longitud
0,1942,1,ACONCAGUA,ENAP REFINARIA ACONCAGUA,TERMOELECTRICA, ,GAS NATURAL,26.29,1, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,10/1/2020 9:00 p. m.,267004,6353946,19 SUR,WGS 1984,VALPARAISO,VALPARAISO,CONCON,COMISION NACIONAL DE ENERGIA,12/30/2018 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-71.49183340399998 -32.92794379913868),-32.92794379913868,-71.49183340399998
1,1943,2,AGUAS BLANCAS,ON-GROUP,TERMOELECTRICA,PMG,PETROLEO DIESEL,1.827,1, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,6/3/2013 8:00 p. m.,412154,7330497,19 SUR,WGS 1984,ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-69.86456766099997 -24.135532259295207),-24.135532259295207,-69.86456766099997
2,1944,3,ALMENDRADO,CENTRAL ELECTRICA ALMENDRADO SPA,TERMOELECTRICA,PMGD,PETROLEO DIESEL,2.955,2,NO APLICA,SISTEMA ELECTRICO NACIONAL,OPERATIVA,6/10/2019 8:00 p. m.,105869,5269351,19 SUR,WGS 1984,LOS LAGOS,CHILOE,CHONCHI,COMISION NACIONAL DE ENERGIA,8/13/2018 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-73.80605584099999 -42.62740890805981),-42.62740890805981,-73.80605584099999
3,1945,4,AMENGUAL,EDELAYSEN,TERMOELECTRICA, ,S/I,0.09,1, ,AMENGUAL,OPERATIVA,,245758,5040197,19 SUR,WGS 1984,AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,COIHAYQUE,LAGO VERDE,SEREMIA AYSEN,9/29/2018 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.21164473599998 -44.74644357005671),-44.74644357005671,-72.21164473599998
4,1946,7,ANDES GENERACION,ANDES GENERACION,TERMOELECTRICA, ,PETROLEO DIESEL,34.182,4,097/2013,SISTEMA ELECTRICO NACIONAL,OPERATIVA,5/16/2016 8:00 p. m.,395874,7078896,19 SUR,WGS 1984,ATACAMA,CHANARAL,DIEGO DE ALMAGRO,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-70.04403457299998 -26.406316197247772),-26.406316197247772,-70.04403457299998
5,1947,9,ANTILHUE,ANTILHUE,TERMOELECTRICA, ,PETROLEO DIESEL,94.403,2,091/1999,SISTEMA ELECTRICO NACIONAL,OPERATIVA,1/6/2005 9:00 p. m.,141661,5585958,19 SUR,WGS 1984,LOS RIOS,VALDIVIA,VALDIVIA,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-73.18517656399996 -39.800871174071936),-39.800871174071936,-73.18517656399996
6,1948,10,ATACAMA,ENEL GENERACION,TERMOELECTRICA, ,GAS NATURAL,716.386,6,042/1998,SISTEMA ELECTRICO NACIONAL,OPERATIVA,9/14/1999 8:00 p. m.,354849,7445660,19 SUR,WGS 1984,ANTOFAGASTA,ANTOFAGASTA,MEJILLONES,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-70.417217705 -23.09138252631858),-23.09138252631858,-70.417217705
7,1949,13,AYSEN TERMICO,EDELAYSEN,TERMOELECTRICA, ,PETROLEO DIESEL,1.2,1, ,SISTEMA ELECTRICO DE AYSEN,OPERATIVA,12/31/1996 9:00 p. m.,209554,4968694,19 SUR,WGS 1984,AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,AISEN,AISEN,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.70945543099998 -45.37500158405681),-45.37500158405681,-72.70945543099998
8,1950,14,AYSEN TERMICO PROVISORIA,EDELAYSEN,TERMOELECTRICA, ,PETROLEO DIESEL,1.4,1, ,SISTEMA ELECTRICO DE AYSEN,OPERATIVA,12/31/1996 9:00 p. m.,209554,4968694,19 SUR,WGS 1984,AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,AISEN,AISEN,COMISION NACIONAL DE ENERGIA,12/30/1997 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.70945543099998 -45.37500158405681),-45.37500158405681,-72.70945543099998
9,1951,15,BIOCRUZ,BIO CRUZ GENERACION,TERMOELECTRICA,PMGD,GAS NATURAL-PETROLEO,5.2,4, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,8/28/2012 8:00 p. m.,291771,6362884,19 SUR,WGS 1984,VALPARAISO,QUILLOTA,LA CRUZ,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-71.22512426699996 -32.852379354139714),-32.852379354139714,-71.22512426699996
10,1952,20,CALLE CALLE,SAGESA,TERMOELECTRICA,PMG,PETROLEO DIESEL,11.6,5,136/2008,SISTEMA ELECTRICO NACIONAL,OPERATIVA,4/27/2011 9:00 p. m.,141348,5586044,19 SUR,WGS 1984,LOS RIOS,VALDIVIA,VALDIVIA,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-73.18877604599999 -39.799966574071966),-39.799966574071966,-73.18877604599999
