,OBJECTID,ID_GE_EOLIC,NOMBRE,PROPIEDAD,TIPO,MEDIO_GENE,COMBUSTIBL,POTENCIAMW,UNIDADES,RCA,SIST_ELECT,ESTADO,F_OPERACIO,COORD_ESTE,COORD_NORT,HUSO,DATUM,REGION,PROVINCIA,COMUNA,FUENTE_BAS,FECH_CREA,FECH_ACT,geometry
0,316,1,ALENA,AR ALENA SPA,EOLICO, ,NO APLICA,83.92,18,314/2013,SISTEMA ELECTRICO NACIONAL,OPERATIVA,12/12/2021 9:00 p. m.,185488,5841018,19 SUR,WGS 1984,BIOBIO,BIO-BIO,LOS ANGELES,COMISION NACIONAL DE ENERGIA,8/2/2015 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.55878196899994 -37.52421888608828)
1,317,3,ALTO BAGUALES 2,EMPRESA ELECTRICA DE AYSEN S.A.,EOLICO, ,NO APLICA,1.8,2,NO APLICA,SISTEMA ELECTRICO DE AYSEN,OPERATIVA,12/31/2015 9:00 p. m.,257682,4953967,19 SUR,WGS 1984,AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,COIHAYQUE,COIHAYQUE,COMISION NACIONAL DE ENERGIA,12/30/2016 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.10303538199997 -45.525671012056925)
2,318,8,AURORA,AELA EOLICA LLLANQUIHUE SPA,EOLICO, ,NO APLICA,126.6,43,539/2015,SISTEMA ELECTRICO NACIONAL,OPERATIVA,11/10/2020 9:00 p. m.,151501,5426739,19 SUR,WGS 1984,LOS LAGOS,LLANQUIHUE,LLANQUIHUE,COMISION NACIONAL DE ENERGIA,8/2/2015 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-73.15815242599996 -41.23565472106464)
3,319,10,CABO LEONES,PARQUE EOLICO CABO LEONES I S.A.,EOLICO, ,NO APLICA,175.1989,67,070/2012,SISTEMA ELECTRICO NACIONAL,OPERATIVA,6/11/2018 8:00 p. m.,259493,6799312,19 SUR,WGS 1984,ATACAMA,HUASCO,FREIRINA,COMISION NACIONAL DE ENERGIA,8/2/2015 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-71.46676604699996 -28.911530347200877)
4,320,11,CABO LEONES II,IBEREOLICA CABO LEONES II S.A.,EOLICO, ,NO APLICA,205.25,49,219/2012,SISTEMA ELECTRICO NACIONAL,OPERATIVA,2/22/2021 9:00 p. m.,261893,6793012,19 SUR,WGS 1984,ATACAMA,HUASCO,FREIRINA,COMISION NACIONAL DE ENERGIA,8/2/2015 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-71.44350223699996 -28.968791090199876)
5,321,12,CABO LEONES III,IBEREOLICA CABO LEONES III S.A.,EOLICO, ,NO APLICA,188.274,44,126/2018,SISTEMA ELECTRICO NACIONAL,OPERATIVA,12/28/2020 9:00 p. m.,257093,6797512,19 SUR,WGS 1984,ATACAMA,HUASCO,FREIRINA,COMISION NACIONAL DE ENERGIA,7/26/2016 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-71.49175079899999 -28.927308866200633)
6,322,13,CABO NEGRO,METHANEX CHILE S.A.,EOLICO, ,NO APLICA,2.55,3,259/2009,SISTEMA ELECTRICO DE MAGALLANES,OPERATIVA,12/31/2009 9:00 p. m.,377109,4131790,19 SUR,WGS 1984,MAGALLANES Y DE LA ANTARTICA CHILENA,MAGALLANES,PUNTA ARENAS,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-70.82912566599998 -52.94942236609321)
7,323,16,PARQUE EOLICO CALAMA,ENGIE ENERGIA CHILE S.A.,EOLICO, ,NO APLICA,150.46,36,236/2018,SISTEMA ELECTRICO NACIONAL,OPERATIVA,10/28/2021 9:00 p. m.,523637,7514741,19 SUR,WGS 1984,ANTOFAGASTA,EL LOA,CALAMA,COMISION NACIONAL DE ENERGIA,6/29/2018 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-68.77023539099997 -22.473523426332836)
8,324,22,CANELA,ENEL GENERACION,EOLICO, ,NO APLICA,17.9685,11,63/2007; 150/2006,SISTEMA ELECTRICO NACIONAL,OPERATIVA,12/26/2007 9:00 p. m.,251477,6535683,19 SUR,WGS 1984,COQUIMBO,CHOAPA,CANELA,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-71.61068534599997 -31.286692318162068)
9,325,23,CANELA II,ENEL GENERACION,EOLICO, ,NO APLICA,59.4,40,296/2008; 043/2009,SISTEMA ELECTRICO NACIONAL,OPERATIVA,12/10/2009 9:00 p. m.,250849,6533484,19 SUR,WGS 1984,COQUIMBO,CHOAPA,CANELA,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-71.61782468899997 -31.30637849516182)
