Time Block,Average of CMg US$,Name
1,99.9976811594203,S/E CARRERA PINTO 220KV
2,94.56812974465149,S/E CARRERA PINTO 220KV
3,90.26289855072464,S/E CARRERA PINTO 220KV
4,88.25822636300897,S/E CARRERA PINTO 220KV
5,88.46545893719805,S/E CARRERA PINTO 220KV
6,91.3456728778468,S/E CARRERA PINTO 220KV
7,98.51748792270531,S/E CARRERA PINTO 220KV
8,87.66855072463768,S/E CARRERA PINTO 220KV
9,45.44087646652864,S/E CARRERA PINTO 220KV
10,34.20683919944789,S/E CARRERA PINTO 220KV
11,35.224209799861974,S/E CARRERA PINTO 220KV
12,34.41665976535542,S/E CARRERA PINTO 220KV
13,31.32765355417529,S/E CARRERA PINTO 220KV
14,26.63072463768116,S/E CARRERA PINTO 220KV
15,24.007294685990335,S/E CARRERA PINTO 220KV
16,22.99541752933057,S/E CARRERA PINTO 220KV
17,30.972801932367148,S/E CARRERA PINTO 220KV
18,52.19599033816426,S/E CARRERA PINTO 220KV
19,76.9404899930987,S/E CARRERA PINTO 220KV
20,104.43532091097308,S/E CARRERA PINTO 220KV
21,120.58094547964114,S/E CARRERA PINTO 220KV
22,120.38434092477569,S/E CARRERA PINTO 220KV
23,114.25191856452729,S/E CARRERA PINTO 220KV
24,106.60122843340235,S/E CARRERA PINTO 220KV
25,94.16,S/E CARRERA PINTO 220KV
1,97.8222015182885,S/E DON HECTOR 220KV
2,92.52135265700484,S/E DON HECTOR 220KV
3,88.25497584541063,S/E DON HECTOR 220KV
4,86.2963630089717,S/E DON HECTOR 220KV
5,86.53146307798482,S/E DON HECTOR 220KV
6,89.26111111111112,S/E DON HECTOR 220KV
7,96.30663906142168,S/E DON HECTOR 220KV
8,85.97924775707386,S/E DON HECTOR 220KV
9,46.97343685300207,S/E DON HECTOR 220KV
10,35.899123533471354,S/E DON HECTOR 220KV
11,37.133409247757065,S/E DON HECTOR 220KV
12,36.2739475500345,S/E DON HECTOR 220KV
13,32.79026224982746,S/E DON HECTOR 220KV
14,27.74628709454796,S/E DON HECTOR 220KV
15,24.874623878536926,S/E DON HECTOR 220KV
16,23.894968944099386,S/E DON HECTOR 220KV
17,31.803968253968257,S/E DON HECTOR 220KV
18,53.32173913043479,S/E DON HECTOR 220KV
19,75.68452726017944,S/E DON HECTOR 220KV
20,102.685928226363,S/E DON HECTOR 220KV
21,118.36643892339546,S/E DON HECTOR 220KV
22,118.18253968253968,S/E DON HECTOR 220KV
23,112.19304347826083,S/E DON HECTOR 220KV
24,104.73013802622498,S/E DON HECTOR 220KV
25,94.1775,S/E DON HECTOR 220KV
1,132.31778029445076,S/E FRONTERA 220KV
2,126.12266138165349,S/E FRONTERA 220KV
3,121.00943374858434,S/E FRONTERA 220KV
4,118.37158550396376,S/E FRONTERA 220KV
5,119.23293318233296,S/E FRONTERA 220KV
6,123.01015855039638,S/E FRONTERA 220KV
7,132.49740656851642,S/E FRONTERA 220KV
8,113.74798414496038,S/E FRONTERA 220KV
9,44.09482446206115,S/E FRONTERA 220KV
10,28.209988674971687,S/E FRONTERA 220KV
11,28.97482446206116,S/E FRONTERA 220KV
12,27.67779161947905,S/E FRONTERA 220KV
13,24.171268403171013,S/E FRONTERA 220KV
