"x","y","ID_LIN_TRA","SUBTIPO","NOMBRE","CIRCUITO","TIPO","F_OPERACIO","LONG_KM","TRAMO","PROPIEDAD","TENSION_KV","RCA","SIST_ELECT","ESTADO","REGION","PROVINCIA","COMUNA","FUENTES_BAS","FECH_CREA","FECH_ACT","Shape_STLe","geometry"
"-32.934334","-71.516242","none","none","Nueva Línea 1x110 kV Bosquemar – Tap Reñaca – Reñaca","none","Obra Ampliación Tx Zonal","10/1/2023","11.5","BOSQUEMAR - TAP REÑACA - REÑACA","CHILQUINTA TRANSMISION S.A.","110","none","SEN","EN CONSTRUCCIÓN","VALPARAISO","Petorca-San Felipe-Los Andes-Quillota-Valparaíso-San Antonio-Isla de Pascua-Marga Marga","Viña del Mar-Concón","none","1/29/2024","1/29/2024","",""
"-32.980046","-71.529176","none","none","Nueva Línea 1x110 kV Bosquemar – Tap Reñaca – Reñaca","none","Obra Ampliación Tx Zonal","10/1/2023","11.5","BOSQUEMAR - TAP REÑACA - REÑACA","CHILQUINTA TRANSMISION S.A.","110","none","SEN","EN CONSTRUCCIÓN","VALPARAISO","Petorca-San Felipe-Los Andes-Quillota-Valparaíso-San Antonio-Isla de Pascua-Marga Marga","Viña del Mar-Concón","none","1/29/2024","1/29/2024","",""
"-27.575295","-70.255324","none","none","Nueva Línea 1x110 kV Cerrillos - Atacama Kozán","none","Obra Nueva Tx Zonal","4/1/2025","10","CERRILLOS - ATACAMA KOZÁN","Empresa Eléctrica Cordillera SpA","110","none","SEN","EN CONSTRUCCIÓN","ATACAMA","Chaqaral-Copiapó-Huasco","Tierra Amarilla","none","1/29/2024","1/29/2024","",""
"-27.504942","-70.271298","none","none","Nueva Línea 1x110 kV Cerrillos - Atacama Kozán","none","Obra Nueva Tx Zonal","4/1/2025","10","CERRILLOS - ATACAMA KOZÁN","Empresa Eléctrica Cordillera SpA","110","none","SEN","EN CONSTRUCCIÓN","ATACAMA","Chaqaral-Copiapó-Huasco","Tierra Amarilla","none","1/29/2024","1/29/2024","",""
"-28.535757","-70.924202","none","none","Nueva Línea 1x110 kV Maitencillo - Vallenar","none","Obra Nueva Tx Zonal","4/1/2025","15.8","MAITENCILLO - VALLENAR","TRANSELEC S.A","110","none","SEN","EN CONSTRUCCIÓN","ATACAMA","Chaqaral-Copiapó-Huasco","Vallenar-Freirina","none","1/29/2024","1/29/2024","",""
"-28.563381","-70.778735","none","none","Nueva Línea 1x110 kV Maitencillo - Vallenar","none","Obra Nueva Tx Zonal","4/1/2025","15.8","MAITENCILLO - VALLENAR","TRANSELEC S.A","110","none","SEN","EN CONSTRUCCIÓN","ATACAMA","Chaqaral-Copiapó-Huasco","Vallenar-Freirina","none","1/29/2024","1/29/2024","",""
"-37.823172","-72.657591","none","none","Nueva Línea 1x66 kV Angol - Epuleufu","none","Obra Nueva Tx Zonal","4/1/2025","27","ANGOL - EPULEUFU","SOCIEDAD AUSTRAL DE TRANSMISION TRONCAL S.A.","66","none","SEN","EN CONSTRUCCIÓN","INTERREGIONAL","","Negrete-Renaico-Angol","none","1/29/2024","1/29/2024","",""
"-37.663464","-72.55874","none","none","Nueva Línea 1x66 kV Angol - Epuleufu","none","Obra Nueva Tx Zonal","4/1/2025","27","ANGOL - EPULEUFU","SOCIEDAD AUSTRAL DE TRANSMISION TRONCAL S.A.","66","none","SEN","EN CONSTRUCCIÓN","INTERREGIONAL","","Negrete-Renaico-Angol","none","1/29/2024","1/29/2024","",""
"-34.347721","-71.613139","none","none","Nueva Línea 1x66 kV Portezuelo - Alcones","none","Obra Nueva Tx Zonal","4/1/2025","13.4","PORTEZUELO - ALCONES","Empresa Eléctrica Cordillera SpA","66","Cardenal Caro-Cachapoal-Colchagua","Marchihue","EN CONSTRUCCIÓN","O'HIGGINS","Cardenal Caro-Cachapoal-Colchagua","Marchihue","none","1/29/2024","1/29/2024","",""
"-34.39717","-71.724981","none","none","Nueva Línea 1x66 kV Portezuelo - Alcones","none","Obra Nueva Tx Zonal","4/1/2025","13.4","PORTEZUELO - ALCONES","Empresa Eléctrica Cordillera SpA","66","Cardenal Caro-Cachapoal-Colchagua","Marchihue","EN CONSTRUCCIÓN","O'HIGGINS","Cardenal Caro-Cachapoal-Colchagua","Marchihue","none","1/29/2024","1/29/2024","",""
