Unnamed: 0,ID_SUBEST,SUBTIPO,NOMBRE,PROPIEDAD,TENSION_KV,TIPO,F_OPERACIO,RCA,SIST_ELECT,ESTADO,COORD_ESTE,COORD_NORT,HUSO,DATUM,REGION,PROVINCIA,COMUNA,FUENTE_BAS,FECH_CREA,FECH_ACT,geometry,Latitud,Longitud
0,529,100,S/E PUERTO MONTT (STS),SISTEMA DE TRANSMISION DEL SUR S.A.,220/23,ZONAL,2020-02-17,S/I,SEN,OPERATIVA,670933.8477266,5408973.25468523,18 S,WGS84,10.0,101.0,10101.0,CEN,2014-12-04,2023-03-30,POINT (-72.95352007499997 -41.45263122099993),-41.45263122099993,-72.95352007499997
1,1640,100,S/E YERBAS BUENAS,CHILQUINTA TRANSMISION S.A.,"154/13,2",ZONAL,2013-01-01,S/I,SEN,OPERATIVA,266957.73178443,6047119.21017294,19 S,WGS84,7.0,74.0,7408.0,CEN,2014-12-04,2023-03-30,POINT (-71.575445 -35.692326),-35.692326,-71.575445
2,647,100,S/E MARCHIGUE,CGE TRANSMISION S.A.,"66/23/13,2",ZONAL,1973-01-01,S/I,SEN,OPERATIVA,258820.45844996,6190177.39249946,19 S,WGS84,6.0,62.0,6204.0,CEN,2014-12-04,2023-03-30,POINT (-71.623726 -34.401738),-34.401738,-71.623726
3,2083,100,S/E CENTRAL EL AGUILA,ENGIE ENERGIA CHILE S.A.,"13,8",DEDICADO,2018-10-04,S/I,SEN,OPERATIVA,406381.56609537,7960131.64418026,19 S,WGS84,15.0,151.0,15101.0,CEN,2014-12-04,2023-03-30,POINT (-69.886571 -18.446983),-18.446983,-69.886571
4,1681,100,S/E CENTRAL CUEL,AELA EOLICA NEGRETE SPA,23,S/I,2014-05-02,S/I,SEN,OPERATIVA,723872.64162356,5846066.84385139,18 S,WGS84,8.0,83.0,8301.0,CEN,2014-12-04,2023-03-30,POINT (-72.467259 -37.505211),-37.505211,-72.467259
5,582,100,S/E PAPOSO,TRANSELEC S.A.,220,DEDICADO,2000-02-12,S/I,SEN,OPERATIVA,352164.55637742,7235529.76943446,19 S,WGS84,2.0,21.0,2104.0,CEN,2014-12-04,2023-03-30,POINT (-70.464787 -24.988477),-24.988477,-70.464787
6,2112,100,S/E SGO,MINERA SPENCE S.A.,220/23,DEDICADO,2019-03-15,S/I,SEN,OPERATIVA,468601.94021465,7480648.03904811,19 S,WGS84,2.0,21.0,2103.0,CEN,2014-12-04,2023-03-30,POINT (-69.30588634599997 -22.78138525199995),-22.78138525199995,-69.30588634599997
7,471,100,S/E COCHARCAS (CGE),CGE TRANSMISION S.A.,66/33/15,ZONAL,1960-01-01,S/I,SEN,OPERATIVA,764343.31209078,5954251.72251716,18 S,WGS84,16.0,163.0,16301.0,CEN,2014-12-04,2023-03-30,POINT (-72.047868 -36.520603),-36.520603,-72.047868
8,969,100,S/E LA COIPA,CIA. MINERA MANTOS DE ORO,220,DEDICADO,1990-01-01,S/I,SEN,OPERATIVA,473405.03050073,7032625.94903986,19 S,WGS84,3.0,31.0,3101.0,CEN,2014-12-04,2023-03-30,POINT (-69.267646 -26.827649),-26.827649,-69.267646
9,2011,100,S/E LOS CHANGOS,TRANSMISORA ELECTRICA DEL NORTE S.A.,"500/220/13,8",NACIONAL,2017-11-21,S/I,SEN,OPERATIVA,365021.41508851,7438564.43841224,19 S,WGS84,2.0,21.0,2102.0,CEN,2014-12-04,2023-03-30,POINT (-70.318544 -23.156322),-23.156322,-70.318544
10,503,100,S/E ANCUD,SISTEMA DE TRANSMISION DEL SUR S.A.,110/23,ZONAL,,S/I,SEN,OPERATIVA,599733.78171835,5362751.16366023,18 S,WGS84,10.0,102.0,10202.0,CEN,2014-12-04,2023-03-30,POINT (-73.797991 -41.880878),-41.880878,-73.797991
11,1120,100,S/E COMPRESORA MINA NAVIO,MELON S.A,"44/6,3",DEDICADO,1947-11-10,S/I,SEN,OPERATIVA,294235.7659455,6382692.79896205,19 S,WGS84,5.0,55.0,5506.0,CEN,2014-12-04,2023-03-30,POINT (-71.194416 -32.674287),-32.674287,-71.194416
12,2048,100,S/E URIBE SOLAR,FOTOVOLTAICA NORTE GRANDE 5 SPA,33,DEDICADO,2020-01-06,S/I,SEN,OPERATIVA,375201.40296855,7393067.52906283,19 S,WGS84,2.0,21.0,2101.0,CEN,2014-12-04,2023-03-30,POINT (-70.22288 -23.568004),-23.568004,-70.22288
13,296,100,S/E TOTORAL 2,NORVIND S.A.,220/66,DEDICADO,2009-12-08,S/I,SEN,OPERATIVA,253368.64330904,6535445.08356024,19 S,WGS84,4.0,42.0,4202.0,CEN,2014-12-04,2023-03-30,POINT (-71.59089 -31.289239),-31.289239,-71.59089
14,406,100,S/E SAN JOAQUIN (CGE),CGE TRANSMISION S.A.,"220/110/13,2",ZONAL,1990-01-01,S/I,SEN,OPERATIVA,283491.93455137,6687802.08270713,19 S,WGS84,4.0,41.0,4101.0,CEN,2014-12-04,2023-03-30,POINT (-71.24277 -29.921469),-29.921469,-71.24277
